歌曲名称,演唱者,昨日音乐指数,较前一日,昨日全站排名,较前一日1,当前时间,全站排名,音乐指数,当前收听人数,历史成绩,变化幅度,专辑,歌曲类型,平台,入V状态
梦回长安,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第16期02 【王晰，请回答】把每一天都当作全新的开始,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
向着太阳,Vitas&王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第16期01 【睡前故事与酒】寻一方净土，去看心中的日月,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
晚风暖暖,王晰,170,10.39%,30727.0,1397,最近更新 23:21,31955.0,166.0,4 人正在听,,10.39,无,未分类,,
我的心里只有你没有他,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
剑起山林,王晰,,,,,,0.0,0.0,,,0.0,无,散曲,,
我和我的祖国,张也&王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第17期02 【王晰，请回答】放弃很容易，但坚持很值得,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
读你,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
盛世,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
第15期02 【王晰，请回答】在四季变迁中，享受独处,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
声入人心,王晰&阿云嘎&郑云龙&高天鹤&蔡程昱&石凯,,,,,,0.0,0.0,,,0.0,无,未分类,,
第15期01 【睡前故事与酒】秋风起，品味核桃和枫糖的滋味,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
叶塞尼娅,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
偏执,王晰&汪小敏,,,,,,0.0,0.0,,,0.0,无,未分类,,
绿岛小夜曲,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
微风细雨,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第1期02 【王晰，请回答】平时喜欢下厨吗？,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
爱的代价,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
好好说再见,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
凄美地,王晰&龙向楠&桑田&谢子因&蔡辛豪&胡宇桐,,,,,,0.0,0.0,,,0.0,无,未分类,,
忘不了,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第14期02 【王晰，请回答】每个人都在努力地活着,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
望阙台,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
月光,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第14期01 【睡前故事与酒】去迎接秋天，萧瑟也辉煌,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
哑光,王晰,,,,,,0.0,0.0,,,0.0,五专《B面图景》,专辑曲,"TME
WYY
咪咕音乐",2021-11-13 00:00:00
